location,tickets
Bronx Library Center,140
Stavros Niarchos Foundation Library,113
Library for the Performing Arts,93
Stephen A. Schwarzman Building,69
Seward Park Library,61
Pelham Parkway - Van Nest Library,58
Woodstock Library,53
Webster Library,52
Epiphany Library,34
53rd Street Library,32
Belmont Library and Enrico Fermi Cultural Center,26
Charleston Library,24
Ottendorfer Library,24
Bloomingdale Library,24
Jefferson Market Library,22
Richmondtown Library,20
Harry Belafonte 115th Street Library,18
Hamilton Grange Library,18
Hudson Park Library,18
Dongan Hills Library,17
Chatham Square Library,16
Sedgwick Library,14
Harlem Library,14
Todt Hill-Westerleigh Library,14
Mariners Harbor Library,14
67th Street Library,14
Columbus Library,13
Mulberry Street Library,13
Allerton Library,13
58th Street Library,13
Library Services Center,13
Roosevelt Island Library,12
Melrose Library,12
Throgs Neck Library,12
Jerome Park Library,12
Kingsbridge Library,11
Yorkville Library,11
Francis Martin Library,11
Riverside Library,9
Tottenville Library,9
Macomb's Bridge Library,9
George Bruce Library,9
Washington Heights Library,8
Inwood Library,7
Aguilar Library,7
Grand Concourse Library,7
Tompkins Square Library,6
Baychester Library,6
Spuyten Duyvil Library,6
South Beach Library,6
"Bookmobile, Staten Island",6
New Amsterdam Library,6
Great Kills Library,6
Edenwald Library,5
Van Cortlandt Library,5
Morningside Heights Library,5
Mosholu Library,5
West Farms Library,5
City Island Library,4
Stapleton Library,4
Countee Cullen Library,4
Andrew Heiskell Braille and Talking Book Library,4
Battery Park City Library,4
Parkchester Library,4
St. Agnes Library,4
New Dorp Library,4
Soundview Library,4
St. George Library Center,3
Woodlawn Heights Library,3
West New Brighton Library,2
Westchester Square Library,2
96th Street Library,2
Pelham Bay Library,2
Hamilton Fish Park Library,2
Kips Bay Library,2
Morrisania Library,2
"Bookmobile, Manhattan",1
Huguenot Park Library,1
Clason's Point Library,1
Eastchester Library,1
270MAD,1
