number,time2resolve
BKOP0113426,0 days 05:31:20
BKOP0113427,0 days 02:09:55
BKOP0113459,4 days 00:18:15
BKOP0113460,4 days 00:21:20
BKOP0113462,0 days 19:47:16
BKOP0113465,0 days 19:11:44
BKOP0113468,0 days 19:18:57
BKOP0113471,0 days 18:27:43
BKOP0113472,0 days 18:11:29
BKOP0113486,3 days 15:56:55
BKOP0113496,13 days 14:01:39
BKOP0113521,0 days 04:08:45
BKOP0113531,0 days 03:34:53
BKOP0113543,6 days 02:19:25
BKOP0113560,2 days 19:29:33
BKOP0113577,3 days 01:59:45
BKOP0113607,1 days 21:41:38
BKOP0113620,1 days 17:48:55
BKOP0113635,0 days 04:22:48
BKOP0113647,7 days 02:43:10
BKOP0113649,7 days 23:21:59
BKOP0113650,7 days 23:21:50
BKOP0113651,7 days 23:21:23
BKOP0113653,7 days 23:20:59
BKOP0113654,7 days 23:20:40
BKOP0113655,7 days 23:20:27
BKOP0113656,2 days 04:13:01
BKOP0113667,0 days 21:41:30
BKOP0113677,2 days 01:26:58
BKOP0113681,1 days 01:38:03
BKOP0113685,0 days 20:44:47
BKOP0113690,0 days 00:48:50
BKOP0113703,0 days 21:40:54
BKOP0113705,2 days 22:57:47
BKOP0113708,0 days 19:44:04
BKOP0113717,0 days 00:02:02
BKOP0113722,0 days 02:57:14
BKOP0113725,1 days 01:07:15
BKOP0113726,2 days 20:13:35
BKOP0113746,0 days 22:55:12
BKOP0113763,2 days 14:23:32
BKOP0113765,0 days 18:28:43
BKOP0113781,0 days 19:07:32
BKOP0113782,0 days 19:04:26
BKOP0113784,1 days 14:33:36
BKOP0113789,2 days 13:13:15
BKOP0113795,15 days 22:31:59
BKOP0113802,1 days 04:54:36
BKOP0113806,1 days 01:13:43
BKOP0113822,0 days 02:34:35
BKOP0113824,0 days 02:44:07
BKOP0113849,1 days 00:41:43
BKOP0113851,1 days 00:40:00
BKOP0113855,0 days 01:00:07
BKOP0113860,0 days 00:07:25
BKOP0113862,1 days 21:29:04
BKOP0113865,1 days 20:14:09
BKOP0113902,0 days 21:27:03
BKOP0113905,0 days 00:07:07
BKOP0113917,13 days 04:19:27
BKOP0113923,0 days 02:08:03
BKOP0113935,5 days 18:57:56
BKOP0113941,5 days 18:12:02
BKOP0113942,0 days 01:44:22
BKOP0113943,0 days 01:13:31
BKOP0113949,0 days 00:47:49
BKOP0113954,0 days 16:06:19
BKOP0113957,4 days 20:31:12
BKOP0113988,0 days 03:53:38
BKOP0113989,0 days 02:49:50
BKOP0114015,101 days 21:01:20
BKOP0114027,4 days 22:58:37
BKOP0114029,2 days 17:59:33
BKOP0114038,3 days 01:09:34
BKOP0114040,0 days 00:10:24
BKOP0114048,103 days 23:56:39
BKOP0114069,2 days 15:32:22
BKOP0114078,124 days 07:48:06
BKOP0114097,1 days 21:24:20
BKOP0114117,3 days 01:40:44
BKOP0114120,1 days 18:37:06
BKOP0114122,1 days 18:31:55
BKOP0114147,0 days 02:24:46
BKOP0114169,0 days 21:57:07
BKOP0114203,0 days 00:43:19
BKOP0114205,0 days 20:55:42
BKOP0114209,0 days 00:15:57
BKOP0114210,1 days 18:32:07
BKOP0114211,0 days 23:27:30
BKOP0114216,0 days 22:13:57
BKOP0114217,0 days 00:09:29
BKOP0114220,0 days 18:55:19
BKOP0114221,0 days 18:37:43
BKOP0114222,0 days 18:25:05
BKOP0114226,0 days 17:05:53
BKOP0114227,122 days 02:07:34
BKOP0114228,0 days 16:42:43
BKOP0114229,0 days 16:38:54
BKOP0114234,0 days 16:24:36
BKOP0114235,0 days 16:19:50
BKOP0114242,0 days 15:11:39
BKOP0114243,0 days 14:51:10
BKOP0114244,0 days 14:45:34
BKOP0114245,0 days 14:07:59
BKOP0114249,5 days 23:24:45
BKOP0114251,0 days 22:30:04
BKOP0114260,0 days 21:05:49
BKOP0114262,0 days 03:56:54
BKOP0114267,0 days 04:36:58
BKOP0114286,0 days 01:49:43
BKOP0114291,5 days 17:57:48
BKOP0114292,0 days 20:33:20
BKOP0114293,0 days 00:05:54
BKOP0114294,0 days 21:30:26
BKOP0114297,0 days 21:07:58
BKOP0114301,1 days 04:12:09
BKOP0114307,0 days 21:23:17
BKOP0114310,0 days 21:36:54
BKOP0114334,0 days 16:18:00
BKOP0114339,0 days 21:08:04
BKOP0114365,0 days 22:37:56
BKOP0114371,1 days 04:34:22
BKOP0114376,1 days 00:45:29
BKOP0114406,1 days 01:32:19
BKOP0114411,2 days 00:37:38
BKOP0114413,2 days 00:32:46
BKOP0114417,2 days 00:25:26
BKOP0114418,2 days 00:21:02
BKOP0114419,1 days 22:53:50
BKOP0114420,1 days 22:46:11
BKOP0114421,1 days 17:46:27
BKOP0114422,1 days 17:40:42
BKOP0114423,1 days 17:34:41
BKOP0114425,1 days 17:20:45
BKOP0114427,1 days 17:08:09
BKOP0114428,1 days 16:56:54
BKOP0114429,0 days 20:01:41
BKOP0114431,0 days 20:03:22
BKOP0114432,0 days 20:04:02
BKOP0114435,0 days 20:12:10
BKOP0114437,0 days 20:03:07
BKOP0114438,0 days 20:13:10
BKOP0114439,1 days 00:12:22
BKOP0114445,0 days 20:58:45
BKOP0114457,0 days 18:56:17
BKOP0114506,0 days 02:43:14
BKOP0114509,0 days 04:15:46
BKOP0114524,0 days 00:46:25
BKOP0114552,0 days 00:03:48
BKOP0114553,5 days 00:19:57
