number,time2resolve
BKOP0105457,0 days 00:16:05
BKOP0105459,0 days 00:49:02
BKOP0105472,0 days 17:27:26
BKOP0105481,0 days 00:14:31
BKOP0105485,0 days 00:46:51
BKOP0105499,0 days 00:35:31
BKOP0105500,0 days 00:14:51
BKOP0105512,0 days 02:59:15
BKOP0105526,3 days 02:03:57
BKOP0105537,2 days 22:36:01
BKOP0105553,2 days 17:11:47
BKOP0105560,19 days 06:09:55
BKOP0105570,265 days 05:18:59
BKOP0105573,4 days 02:53:24
BKOP0105595,3 days 21:27:42
BKOP0105608,0 days 02:16:34
BKOP0105609,0 days 00:09:17
BKOP0105610,0 days 00:09:48
BKOP0105611,0 days 00:09:43
BKOP0105612,0 days 00:09:22
BKOP0105613,0 days 00:10:20
BKOP0105621,0 days 00:56:06
BKOP0105622,0 days 00:36:34
BKOP0105636,0 days 17:18:20
BKOP0105637,0 days 17:15:15
BKOP0105638,0 days 16:54:34
BKOP0105639,0 days 16:49:30
BKOP0105640,0 days 16:43:39
BKOP0105652,118 days 20:20:03
BKOP0105672,27 days 23:04:00
BKOP0105681,0 days 02:00:19
BKOP0105682,0 days 01:59:55
BKOP0105693,0 days 16:12:11
BKOP0105694,0 days 16:16:39
BKOP0105695,0 days 16:13:34
BKOP0105696,0 days 16:10:38
BKOP0105700,0 days 15:07:25
BKOP0105716,5 days 01:17:52
BKOP0105727,7 days 03:15:54
BKOP0105735,183 days 22:23:55
BKOP0105737,0 days 01:36:47
BKOP0105769,0 days 00:05:25
BKOP0105774,0 days 17:34:33
BKOP0105808,199 days 21:42:44
BKOP0105816,0 days 16:33:19
BKOP0105818,0 days 16:28:36
BKOP0105820,0 days 16:24:34
BKOP0105823,0 days 16:16:33
BKOP0105835,0 days 04:21:56
BKOP0105836,5 days 04:35:54
BKOP0105842,13 days 22:40:16
BKOP0105843,0 days 00:39:59
BKOP0105853,5 days 01:19:18
BKOP0105854,5 days 01:15:03
BKOP0105855,5 days 01:13:20
BKOP0105856,156 days 19:32:43
BKOP0105857,5 days 00:51:55
BKOP0105859,5 days 00:40:45
BKOP0105860,5 days 00:33:23
BKOP0105873,0 days 00:08:43
BKOP0105874,0 days 00:03:48
BKOP0105898,11 days 23:33:58
BKOP0105912,1 days 17:47:10
BKOP0105913,11 days 21:22:02
BKOP0105928,0 days 00:20:41
BKOP0105929,21 days 23:48:00
BKOP0105935,0 days 00:53:25
BKOP0105940,10 days 01:37:40
BKOP0105941,10 days 01:41:28
BKOP0105942,0 days 00:14:53
BKOP0105943,10 days 01:30:41
BKOP0105944,196 days 20:40:46
BKOP0105946,10 days 00:55:51
BKOP0105952,1 days 23:47:33
BKOP0105972,9 days 23:05:33
BKOP0105982,0 days 16:50:51
BKOP0105983,0 days 16:45:03
BKOP0106000,0 days 04:09:35
BKOP0106010,9 days 19:45:40
BKOP0106011,9 days 19:52:51
BKOP0106048,1 days 01:11:19
BKOP0106053,176 days 16:47:52
BKOP0106055,1 days 00:25:45
BKOP0106070,161 days 22:17:12
BKOP0106071,0 days 17:58:27
BKOP0106092,0 days 00:17:35
BKOP0106095,0 days 00:15:08
BKOP0106107,154 days 00:08:43
BKOP0106109,181 days 02:54:02
BKOP0106112,0 days 02:41:10
BKOP0106120,0 days 00:51:41
BKOP0106137,0 days 00:17:48
BKOP0106165,0 days 15:49:13
BKOP0106167,0 days 13:35:40
BKOP0106183,11 days 03:28:42
BKOP0106192,0 days 00:13:33
BKOP0106214,10 days 23:21:56
BKOP0106224,158 days 16:46:19
BKOP0106229,146 days 22:52:38
BKOP0106237,0 days 02:19:10
BKOP0106262,0 days 00:20:32
BKOP0106267,172 days 03:04:12
BKOP0106270,152 days 23:18:52
BKOP0106271,152 days 23:25:43
BKOP0106279,179 days 19:37:53
BKOP0106314,175 days 07:08:57
BKOP0106319,1 days 00:25:14
BKOP0106334,0 days 22:42:28
BKOP0106345,0 days 00:32:56
BKOP0106346,0 days 22:00:22
BKOP0106348,162 days 20:17:21
BKOP0106358,132 days 23:16:06
BKOP0106371,0 days 00:21:45
BKOP0106375,0 days 00:09:41
BKOP0106386,1 days 01:34:04
BKOP0106388,0 days 00:18:48
BKOP0106389,173 days 23:27:17
BKOP0106395,141 days 19:14:25
BKOP0106399,111 days 20:57:38
BKOP0106400,0 days 19:02:57
BKOP0106424,0 days 13:39:09
BKOP0106426,0 days 00:19:31
BKOP0106429,0 days 01:07:44
BKOP0106444,0 days 02:21:41
BKOP0106448,0 days 01:59:02
BKOP0106450,140 days 01:28:40
BKOP0106458,0 days 00:05:27
BKOP0106460,0 days 00:08:21
BKOP0106465,0 days 16:39:48
BKOP0106471,161 days 21:25:50
BKOP0106473,0 days 16:07:26
BKOP0106474,0 days 16:14:34
BKOP0106481,0 days 15:47:22
BKOP0106483,0 days 15:32:54
BKOP0106486,0 days 15:15:04
BKOP0106502,0 days 00:33:53
BKOP0106503,0 days 00:30:20
BKOP0106511,265 days 06:34:50
BKOP0106523,139 days 20:59:33
BKOP0106542,2 days 17:09:16
BKOP0106550,141 days 23:23:24
BKOP0106552,125 days 05:21:27
BKOP0106554,131 days 03:26:17
BKOP0106558,1 days 06:17:41
BKOP0106564,24 days 18:26:09
BKOP0106579,1 days 19:05:32
BKOP0106580,1 days 18:57:56
BKOP0106581,1 days 18:48:47
BKOP0106582,1 days 18:43:03
BKOP0106583,1 days 18:34:16
BKOP0106584,1 days 18:27:03
BKOP0106585,1 days 18:18:56
BKOP0106596,59 days 17:56:02
BKOP0106598,0 days 00:04:40
BKOP0106606,7 days 06:09:50
BKOP0106607,16 days 01:37:47
BKOP0106632,262 days 03:58:45
BKOP0106652,0 days 15:53:22
BKOP0106672,0 days 00:54:59
BKOP0106673,0 days 06:57:24
BKOP0106680,0 days 00:33:42
BKOP0106689,14 days 22:39:29
BKOP0106693,15 days 19:08:30
BKOP0106739,0 days 00:25:24
BKOP0106744,0 days 02:22:14
BKOP0106745,0 days 02:24:26
BKOP0106748,0 days 02:14:54
BKOP0106760,0 days 00:13:26
BKOP0106773,0 days 00:44:37
BKOP0106785,260 days 00:38:38
BKOP0106795,77 days 00:19:30
BKOP0106796,75 days 02:40:09
BKOP0106803,0 days 00:04:45
BKOP0106805,13 days 22:05:21
BKOP0106809,0 days 01:57:41
BKOP0106834,3 days 20:47:53
BKOP0106838,13 days 18:11:22
BKOP0106859,4 days 00:19:46
BKOP0106860,0 days 04:04:16
BKOP0106869,0 days 03:17:02
BKOP0106871,0 days 03:18:10
BKOP0106881,0 days 02:33:11
BKOP0106886,0 days 01:36:47
BKOP0106887,0 days 01:31:41
BKOP0106892,0 days 01:11:45
BKOP0106937,12 days 16:17:56
BKOP0106939,179 days 21:54:32
BKOP0106959,74 days 22:57:47
BKOP0106966,165 days 13:17:53
BKOP0106975,0 days 00:30:25
BKOP0106991,9 days 22:35:38
BKOP0107006,9 days 19:32:25
